Step,Information:,X=2p,Run:,1/20
3.98107170553500e+010,-1.92254366830049e-001,-3.32628449654060e-002,7.96214000000000e-011,0.00000000000000e+000
5.01187233627276e+010,-1.93991484890170e-001,-2.66124243923777e-002,7.96214000000000e-011,0.00000000000000e+000
6.30957344480198e+010,-1.95100002985309e-001,-2.12357136474186e-002,7.96214000000000e-011,0.00000000000000e+000
7.94328234724287e+010,-1.95804465419014e-001,-1.69169459402664e-002,7.96214000000000e-011,0.00000000000000e+000
1.00000000000000e+011,-1.96250973450469e-001,-1.34621861081628e-002,7.96214000000000e-011,0.00000000000000e+000
Step,Information:,X=126.191p,Run:,10/20
1.00000000000000e-001,5.35659855800316e+003,-5.90602194074825e+002,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e-001,5.31769504597264e+003,-7.37892669374280e+002,1.26191000000000e-010,0.00000000000000e+000
1.58489319246111e-001,5.25722997154979e+003,-9.17933006744741e+002,1.26191000000000e-010,0.00000000000000e+000
1.99526231496888e-001,5.16428337185825e+003,-1.13428540641524e+003,1.26191000000000e-010,0.00000000000000e+000
2.51188643150958e-001,5.02379975100635e+003,-1.38740591918648e+003,1.26191000000000e-010,0.00000000000000e+000
3.16227766016838e-001,4.81679696729377e+003,-1.67137316801683e+003,1.26191000000000e-010,0.00000000000000e+000
3.98107170553497e-001,4.52292844017893e+003,-1.96961509965326e+003,1.26191000000000e-010,0.00000000000000e+000
5.01187233627272e-001,4.12706558672931e+003,-2.25147213625723e+003,1.26191000000000e-010,0.00000000000000e+000
6.30957344480193e-001,3.62988467478385e+003,-2.47373629111494e+003,1.26191000000000e-010,0.00000000000000e+000
7.94328234724282e-001,3.05760712823564e+003,-2.59156761540368e+003,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+000,2.46142767869392e+003,-2.57708991341070e+003,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+000,1.90153258562397e+003,-2.43389318160631e+003,1.26191000000000e-010,0.00000000000000e+000
1.58489319246111e+000,1.42465444980448e+003,-2.19505330603049e+003,1.26191000000000e-010,0.00000000000000e+000
1.99526231496888e+000,1.05113389577204e+003,-1.90647876927425e+003,1.26191000000000e-010,0.00000000000000e+000
2.51188643150958e+000,7.77316460624767e+002,-1.60926906877869e+003,1.26191000000000e-010,0.00000000000000e+000
3.16227766016838e+000,5.86181621470227e+002,-1.33097313909936e+003,1.26191000000000e-010,0.00000000000000e+000
3.98107170553498e+000,4.57278315062437e+002,-1.08553911393938e+003,1.26191000000000e-010,0.00000000000000e+000
5.01187233627273e+000,3.72351068359639e+002,-8.77199855062238e+002,1.26191000000000e-010,0.00000000000000e+000
6.30957344480194e+000,3.17254633339073e+002,-7.04615981037349e+002,1.26191000000000e-010,0.00000000000000e+000
7.94328234724282e+000,2.81867851691205e+002,-5.63869159534711e+002,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+001,2.59285798673928e+002,-4.50236735359831e+002,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+001,2.44933433005074e+002,-3.59100069437554e+002,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+001,2.35833844569531e+002,-2.86337880236080e+002,1.26191000000000e-010,0.00000000000000e+000
1.99526231496888e+001,2.30071560948903e+002,-2.28446729783281e+002,1.26191000000000e-010,0.00000000000000e+000
2.51188643150958e+001,2.26422293241444e+002,-1.82531267001465e+002,1.26191000000000e-010,0.00000000000000e+000
3.16227766016838e+001,2.24106142042939e+002,-1.46240730252858e+002,1.26191000000000e-010,0.00000000000000e+000
3.98107170553498e+001,2.22626280547833e+002,-1.17689854569796e+002,1.26191000000000e-010,0.00000000000000e+000
5.01187233627273e+001,2.21664531692200e+002,-9.53817300127026e+001,1.26191000000000e-010,0.00000000000000e+000
6.30957344480194e+001,2.21013824133544e+002,-7.81396888895438e+001,1.26191000000000e-010,0.00000000000000e+000
7.94328234724283e+001,2.20533970217486e+002,-6.50502411235371e+001,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+002,2.20121649651505e+002,-5.54167633873962e+001,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+002,2.19688339974386e+002,-4.87226306430548e+001,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+002,2.19141638880752e+002,-4.46019581705216e+001,1.26191000000000e-010,0.00000000000000e+000
1.99526231496888e+002,2.18366328632723e+002,-4.28155947171297e+001,1.26191000000000e-010,0.00000000000000e+000
2.51188643150958e+002,2.17201977376630e+002,-4.32290498778092e+001,1.26191000000000e-010,0.00000000000000e+000
3.16227766016839e+002,2.15414347671748e+002,-4.57871808692932e+001,1.26191000000000e-010,0.00000000000000e+000
3.98107170553498e+002,2.12659385864005e+002,-5.04772040175042e+001,1.26191000000000e-010,0.00000000000000e+000
5.01187233627273e+002,2.08443187582867e+002,-5.72668265592071e+001,1.26191000000000e-010,0.00000000000000e+000
6.30957344480194e+002,2.02092889805494e+002,-6.59998558531576e+001,1.26191000000000e-010,0.00000000000000e+000
7.94328234724283e+002,1.92776510993806e+002,-7.62351338790611e+001,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+003,1.79642067273483e+002,-8.70448790056943e+001,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+003,1.62156529823596e+002,-9.68713474967027e+001,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+003,1.40629036023707e+002,-1.03661062474394e+002,1.26191000000000e-010,0.00000000000000e+000
1.99526231496888e+003,1.16630620943800e+002,-1.05494144044040e+002,1.26191000000000e-010,0.00000000000000e+000
2.51188643150959e+003,9.27852225420175e+001,-1.01545721487761e+002,1.26191000000000e-010,0.00000000000000e+000
3.16227766016839e+003,7.17532893055473e+001,-9.26411146512081e+001,1.26191000000000e-010,0.00000000000000e+000
3.98107170553498e+003,5.51116106609163e+001,-8.07975339807806e+001,1.26191000000000e-010,0.00000000000000e+000
5.01187233627273e+003,4.30337986780318e+001,-6.81576132466035e+001,1.26191000000000e-010,0.00000000000000e+000
6.30957344480195e+003,3.47802533662712e+001,-5.62286654164296e+001,1.26191000000000e-010,0.00000000000000e+000
7.94328234724283e+003,2.93456981116535e+001,-4.57559051495449e+001,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+004,2.58405136464979e+001,-3.69457039599748e+001,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+004,2.36032950771050e+001,-2.97211312822409e+001,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+004,2.21817708553592e+001,-2.38918271989169e+001,1.26191000000000e-010,0.00000000000000e+000
1.99526231496889e+004,2.12788720758504e+001,-1.92425457841243e+001,1.26191000000000e-010,0.00000000000000e+000
2.51188643150959e+004,2.07028742942785e+001,-1.55722558402983e+001,1.26191000000000e-010,0.00000000000000e+000
3.16227766016839e+004,2.03305162689703e+001,-1.27082662757192e+001,1.26191000000000e-010,0.00000000000000e+000
3.98107170553498e+004,2.00818216739436e+001,-1.05090312114905e+001,1.26191000000000e-010,0.00000000000000e+000
5.01187233627274e+004,1.99033202779857e+001,-8.86231768302212e+000,1.26191000000000e-010,0.00000000000000e+000
6.30957344480195e+004,1.97567291111365e+001,-7.68175168395094e+000,1.26191000000000e-010,0.00000000000000e+000
7.94328234724284e+004,1.96109172424499e+001,-6.90293413777985e+000,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+005,1.94356351668555e+001,-6.47935857868214e+000,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+005,1.91960302893080e+001,-6.37773655583155e+000,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+005,1.88475730317673e+001,-6.57179055096775e+000,1.26191000000000e-010,0.00000000000000e+000
1.99526231496889e+005,1.83320046500333e+001,-7.03310204482880e+000,1.26191000000000e-010,0.00000000000000e+000
2.51188643150959e+005,1.75766833853086e+001,-7.71764059369252e+000,1.26191000000000e-010,0.00000000000000e+000
3.16227766016839e+005,1.65022485844401e+001,-8.54838779714562e+000,1.26191000000000e-010,0.00000000000000e+000
3.98107170553499e+005,1.50450270573069e+001,-9.39988621844379e+000,1.26191000000000e-010,0.00000000000000e+000
5.01187233627274e+005,1.31957154171395e+001,-1.00993122691188e+001,1.26191000000000e-010,0.00000000000000e+000
6.30957344480196e+005,1.10389795900250e+001,-1.04618849152766e+001,1.26191000000000e-010,0.00000000000000e+000
7.94328234724285e+005,8.75901389385848e+000,-1.03591301567960e+001,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+006,6.58614567391608e+000,-9.77970244347017e+000,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+006,4.71069880840970e+000,-8.83170802200336e+000,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+006,3.22551979204268e+000,-7.68407023069184e+000,1.26191000000000e-010,0.00000000000000e+000
1.99526231496889e+006,2.12759282996759e+000,-6.49620940962399e+000,1.26191000000000e-010,0.00000000000000e+000
2.51188643150959e+006,1.35654377189361e+000,-5.37884042016504e+000,1.26191000000000e-010,0.00000000000000e+000
3.16227766016839e+006,8.34364858034661e-001,-4.38989279820200e+000,1.26191000000000e-010,0.00000000000000e+000
3.98107170553499e+006,4.89371459886601e-001,-3.54816552620298e+000,1.26191000000000e-010,0.00000000000000e+000
5.01187233627275e+006,2.65155542441195e-001,-2.84943652491887e+000,1.26191000000000e-010,0.00000000000000e+000
6.30957344480196e+006,1.20992144245878e-001,-2.27855030712168e+000,1.26191000000000e-010,0.00000000000000e+000
7.94328234724285e+006,2.89479128485355e-002,-1.81674047915219e+000,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+007,-2.95429653858521e-002,-1.44543877221445e+000,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+007,-6.65783707373349e-002,-1.14795464004806e+000,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+007,-8.99396001148722e-002,-9.10011426077483e-001,1.26191000000000e-010,0.00000000000000e+000
1.99526231496889e+007,-1.04582555717816e-001,-7.19729521136258e-001,1.26191000000000e-010,0.00000000000000e+000
2.51188643150959e+007,-1.13630478452147e-001,-5.67376785386899e-001,1.26191000000000e-010,0.00000000000000e+000
3.16227766016839e+007,-1.19016076821409e-001,-4.45048139971903e-001,1.26191000000000e-010,0.00000000000000e+000
3.98107170553499e+007,-1.21885300690488e-001,-3.46351608712752e-001,1.26191000000000e-010,0.00000000000000e+000
5.01187233627275e+007,-1.22842067127134e-001,-2.66136369348039e-001,1.26191000000000e-010,0.00000000000000e+000
6.30957344480196e+007,-1.22089944607558e-001,-2.00279311686379e-001,1.26191000000000e-010,0.00000000000000e+000
7.94328234724286e+007,-1.19513133218030e-001,-1.45538221408089e-001,1.26191000000000e-010,0.00000000000000e+000
1.00000000000001e+008,-1.14734259211880e-001,-9.94761377029254e-002,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+008,-1.07193419738496e-001,-6.04559176277716e-002,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+008,-9.63090573427314e-002,-2.76783582650312e-002,1.26191000000000e-010,0.00000000000000e+000
1.99526231496889e+008,-8.17737655412628e-002,-1.17247420155327e-003,1.26191000000000e-010,0.00000000000000e+000
2.51188643150959e+008,-6.39426625561089e-002,1.84242539322155e-002,1.26191000000000e-010,0.00000000000000e+000
3.16227766016840e+008,-4.40827472033341e-002,3.04022271255917e-002,1.26191000000000e-010,0.00000000000000e+000
3.98107170553499e+008,-2.41713341362201e-002,3.46498597686000e-002,1.26191000000000e-010,0.00000000000000e+000
5.01187233627275e+008,-6.23337075968874e-003,3.19912600509369e-002,1.26191000000000e-010,0.00000000000000e+000
6.30957344480197e+008,8.32132723160345e-003,2.39157182490418e-002,1.26191000000000e-010,0.00000000000000e+000
7.94328234724286e+008,1.88867644606360e-002,1.19730087442399e-002,1.26191000000000e-010,0.00000000000000e+000
1.00000000000001e+009,2.53743817475764e-002,-2.67078978360190e-003,1.26191000000000e-010,0.00000000000000e+000
1.25892541179417e+009,2.77874071921002e-002,-1.92995321155379e-002,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+009,2.59312053055721e-002,-3.74352780809504e-002,1.26191000000000e-010,0.00000000000000e+000
1.99526231496889e+009,1.93376025008858e-002,-5.65244499791073e-002,1.26191000000000e-010,0.00000000000000e+000
2.51188643150960e+009,7.39186266867457e-003,-7.56298200864801e-002,1.26191000000000e-010,0.00000000000000e+000
3.16227766016840e+009,-1.03290735884031e-002,-9.32161991108241e-002,1.26191000000000e-010,0.00000000000000e+000
3.98107170553500e+009,-3.35319470858664e-002,-1.07202992239938e-001,1.26191000000000e-010,0.00000000000000e+000
5.01187233627275e+009,-6.07330455299587e-002,-1.15480966584837e-001,1.26191000000000e-010,0.00000000000000e+000
6.30957344480197e+009,-8.92923211212220e-002,-1.16800508238489e-001,1.26191000000000e-010,0.00000000000000e+000
7.94328234724287e+009,-1.16193994357847e-001,-1.11452140815226e-001,1.26191000000000e-010,0.00000000000000e+000
1.00000000000001e+010,-1.39126570753998e-001,-1.01143909668573e-001,1.26191000000000e-010,0.00000000000000e+000
1.25892541179418e+010,-1.57088653093164e-001,-8.81789807180224e-002,1.26191000000000e-010,0.00000000000000e+000
1.58489319246112e+010,-1.70252417678879e-001,-7.46019515469351e-002,1.26191000000000e-010,0.00000000000000e+000
1.99526231496889e+010,-1.79438343350825e-001,-6.17842350406122e-002,1.26191000000000e-010,0.00000000000000e+000
2.51188643150960e+010,-1.85631820293503e-001,-5.04293039608189e-002,1.26191000000000e-010,0.00000000000000e+000
3.16227766016840e+010,-1.89711573723874e-001,-4.07648924419321e-002,1.26191000000000e-010,0.00000000000000e+000
3.98107170553500e+010,-1.92357941637273e-001,-3.27451890584323e-002,1.26191000000000e-010,0.00000000000000e+000
5.01187233627276e+010,-1.94057443073302e-001,-2.61963456933171e-002,1.26191000000000e-010,0.00000000000000e+000
6.30957344480198e+010,-1.95141864763267e-001,-2.09027246723623e-002,1.26191000000000e-010,0.00000000000000e+000
7.94328234724287e+010,-1.95830976802780e-001,-1.66511861929745e-002,1.26191000000000e-010,0.00000000000000e+000
1.00000000000000e+011,-1.96267740389868e-001,-1.32504519337666e-002,1.26191000000000e-010,0.00000000000000e+000
Step,Information:,X=200p,Run:,11/20
1.00000000000000e-001,5.35656497376051e+003,-5.90837449468441e+002,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e-001,5.31764239396963e+003,-7.38185470766353e+002,2.00000000000000e-010,0.00000000000000e+000
1.58489319246111e-001,5.25714793289607e+003,-9.18295077994851e+002,2.00000000000000e-010,0.00000000000000e+000
1.99526231496888e-001,5.16415675137277e+003,-1.13472869899417e+003,2.00000000000000e-010,0.00000000000000e+000
2.51188643150958e-001,5.02360710712643e+003,-1.38794054578701e+003,2.00000000000000e-010,0.00000000000000e+000
3.16227766016838e-001,4.81651001983494e+003,-1.67200381505545e+003,2.00000000000000e-010,0.00000000000000e+000
3.98107170553497e-001,4.52251371780061e+003,-1.97033603870690e+003,2.00000000000000e-010,0.00000000000000e+000
5.01187233627272e-001,4.12649006023100e+003,-2.25226247288170e+003,2.00000000000000e-010,0.00000000000000e+000
6.30957344480193e-001,3.62912559116036e+003,-2.47455919797007e+003,2.00000000000000e-010,0.00000000000000e+000
7.94328234724282e-001,3.05666212663627e+003,-2.59237742757523e+003,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+000,2.46031785710127e+003,-2.57784599221846e+003,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+000,1.90029478166606e+003,-2.43457243076227e+003,2.00000000000000e-010,0.00000000000000e+000
1.58489319246111e+000,1.42332809188888e+003,-2.19565347894023e+003,2.00000000000000e-010,0.00000000000000e+000
1.99526231496888e+000,1.04975127393223e+003,-1.90701314596362e+003,2.00000000000000e-010,0.00000000000000e+000
2.51188643150958e+000,7.75899826468314e+002,-1.60975888785997e+003,2.00000000000000e-010,0.00000000000000e+000
3.16227766016838e+000,5.84744743010408e+002,-1.33144242866384e+003,2.00000000000000e-010,0.00000000000000e+000
3.98107170553498e+000,4.55829192081971e+002,-1.08601262924291e+003,2.00000000000000e-010,0.00000000000000e+000
5.01187233627273e+000,3.70894145420287e+002,-8.77703029612976e+002,2.00000000000000e-010,0.00000000000000e+000
6.30957344480194e+000,3.15792192485207e+002,-7.05175844007654e+002,2.00000000000000e-010,0.00000000000000e+000
7.94328234724282e+000,2.80400758991923e+002,-5.64515680691060e+002,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+001,2.57813817075797e+002,-4.51004422653397e+002,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+001,2.43455228469884e+002,-3.60029819784045e+002,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+001,2.34346723261882e+002,-2.87479156193951e+002,2.00000000000000e-010,0.00000000000000e+000
1.99526231496888e+001,2.28570899349914e+002,-2.29860166008708e+002,2.00000000000000e-010,0.00000000000000e+000
2.51188643150958e+001,2.24900547587857e+002,-1.84291827738520e+002,2.00000000000000e-010,0.00000000000000e+000
3.16227766016838e+001,2.22551229738064e+002,-1.48441549360364e+002,2.00000000000000e-010,0.00000000000000e+000
3.98107170553498e+001,2.21018992935499e+002,-1.20446887103756e+002,2.00000000000000e-010,0.00000000000000e+000
5.01187233627273e+001,2.19974438571908e+002,-9.88393113817086e+001,2.00000000000000e-010,0.00000000000000e+000
6.30957344480194e+001,2.19192831811139e+002,-8.24769962818476e+001,2.00000000000000e-010,0.00000000000000e+000
7.94328234724283e+001,2.18506256302653e+002,-7.04884071437464e+001,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+002,2.17768084161155e+002,-6.22258591094536e+001,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+002,2.16822725770579e+002,-5.72266473089071e+001,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+002,2.15475340365760e+002,-5.51778097229990e+001,2.00000000000000e-010,0.00000000000000e+000
1.99526231496888e+002,2.13457724487311e+002,-5.58783234926056e+001,2.00000000000000e-010,0.00000000000000e+000
2.51188643150958e+002,2.10389323155520e+002,-5.91890269055268e+001,2.00000000000000e-010,0.00000000000000e+000
3.16227766016839e+002,2.05738743843456e+002,-6.49561164710117e+001,2.00000000000000e-010,0.00000000000000e+000
3.98107170553498e+002,1.98805143372274e+002,-7.28918406041239e+001,2.00000000000000e-010,0.00000000000000e+000
5.01187233627273e+002,1.88762966490554e+002,-8.24059090479150e+001,2.00000000000000e-010,0.00000000000000e+000
6.30957344480194e+002,1.74838244104226e+002,-9.24223009131267e+001,2.00000000000000e-010,0.00000000000000e+000
7.94328234724283e+002,1.56667856226337e+002,-1.01301619288438e+002,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+003,1.34762784959484e+002,-1.07068049466978e+002,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+003,1.10763267265863e+002,-1.08045986622120e+002,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+003,8.71077973107216e+001,-1.03635643989029e+002,2.00000000000000e-010,0.00000000000000e+000
1.99526231496888e+003,6.61498013075316e+001,-9.46372152539361e+001,2.00000000000000e-010,0.00000000000000e+000
2.51188643150959e+003,4.93175447111725e+001,-8.28209983274135e+001,2.00000000000000e-010,0.00000000000000e+000
3.16227766016839e+003,3.68729932099434e+001,-7.01099744275574e+001,2.00000000000000e-010,0.00000000000000e+000
3.98107170553498e+003,2.82421730874014e+001,-5.79610712350609e+001,2.00000000000000e-010,0.00000000000000e+000
5.01187233627273e+003,2.25178567442075e+001,-4.71810236761683e+001,2.00000000000000e-010,0.00000000000000e+000
6.30957344480195e+003,1.88249548348040e+001,-3.80481992951579e+001,2.00000000000000e-010,0.00000000000000e+000
7.94328234724283e+003,1.64776739539204e+001,-3.05248731502798e+001,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+004,1.49954080366556e+001,-2.44304527686364e+001,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+004,1.40610500794819e+001,-1.95444008239666e+001,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+004,1.34714501123265e+001,-1.56551286176739e+001,2.00000000000000e-010,0.00000000000000e+000
1.99526231496889e+004,1.30979575525999e+001,-1.25783336434142e+001,2.00000000000000e-010,0.00000000000000e+000
2.51188643150959e+004,1.28591753432964e+001,-1.01609705882236e+001,2.00000000000000e-010,0.00000000000000e+000
3.16227766016839e+004,1.27031962423961e+001,-8.27942338008866e+000,2.00000000000000e-010,0.00000000000000e+000
3.98107170553498e+004,1.25962066228306e+001,-6.83580751532905e+000,2.00000000000000e-010,0.00000000000000e+000
5.01187233627274e+004,1.25150927161144e+001,-5.75402638548201e+000,2.00000000000000e-010,0.00000000000000e+000
6.30957344480195e+004,1.24424423084887e+001,-4.97615219825296e+000,2.00000000000000e-010,0.00000000000000e+000
7.94328234724284e+004,1.23628735030482e+001,-4.45921532597938e+000,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+005,1.22599765438619e+001,-4.17221447784470e+000,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+005,1.21134242427113e+001,-4.09293099521155e+000,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+005,1.18961305254677e+001,-4.20386782969367e+000,2.00000000000000e-010,0.00000000000000e+000
1.99526231496889e+005,1.15719202032179e+001,-4.48637635925533e+000,2.00000000000000e-010,0.00000000000000e+000
2.51188643150959e+005,1.10952629541336e+001,-4.91207911514921e+000,2.00000000000000e-010,0.00000000000000e+000
3.16227766016839e+005,1.04162158257404e+001,-5.43183826992101e+000,2.00000000000000e-010,0.00000000000000e+000
3.98107170553499e+005,9.49465937846268e+000,-5.96595207043060e+000,2.00000000000000e-010,0.00000000000000e+000
5.01187233627274e+005,8.32481129318343e+000,-6.40481288218701e+000,2.00000000000000e-010,0.00000000000000e+000
6.30957344480196e+005,6.96030819440187e+000,-6.63129583211617e+000,2.00000000000000e-010,0.00000000000000e+000
7.94328234724285e+005,5.51774129087957e+000,-6.56394219146724e+000,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+006,4.14288212545380e+000,-6.19543882782793e+000,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+006,2.95618403694884e+000,-5.59408577916280e+000,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+006,2.01641488112120e+000,-4.86669098241952e+000,2.00000000000000e-010,0.00000000000000e+000
1.99526231496889e+006,1.32167810004283e+000,-4.11406855420645e+000,2.00000000000000e-010,0.00000000000000e+000
2.51188643150959e+006,8.33777323503859e-001,-3.40622681363639e+000,2.00000000000000e-010,0.00000000000000e+000
3.16227766016839e+006,5.03354643270005e-001,-2.77978223499701e+000,2.00000000000000e-010,0.00000000000000e+000
3.98107170553499e+006,2.85051399745560e-001,-2.24659699617278e+000,2.00000000000000e-010,0.00000000000000e+000
5.01187233627275e+006,1.43174819133946e-001,-1.80397084485622e+000,2.00000000000000e-010,0.00000000000000e+000
6.30957344480196e+006,5.19558862927160e-002,-1.44228853369244e+000,2.00000000000000e-010,0.00000000000000e+000
7.94328234724285e+006,-6.27989116724814e-003,-1.14965217951023e+000,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+007,-4.32788039260430e-002,-9.14290460943197e-001,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+007,-6.66933159645876e-002,-7.25620395749465e-001,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+007,-8.14427542513068e-002,-5.74585604272298e-001,2.00000000000000e-010,0.00000000000000e+000
1.99526231496889e+007,-9.06559009840051e-002,-4.53644681037417e-001,2.00000000000000e-010,0.00000000000000e+000
2.51188643150959e+007,-9.62975951943316e-002,-3.56612418342101e-001,2.00000000000000e-010,0.00000000000000e+000
3.16227766016839e+007,-9.95726030092896e-002,-2.78456556204003e-001,2.00000000000000e-010,0.00000000000000e+000
3.98107170553499e+007,-1.01177439271020e-001,-2.15099459386656e-001,2.00000000000000e-010,0.00000000000000e+000
5.01187233627275e+007,-1.01450077014276e-001,-1.63248172387094e-001,2.00000000000000e-010,0.00000000000000e+000
6.30957344480196e+007,-1.00453168445972e-001,-1.20264842380456e-001,2.00000000000000e-010,0.00000000000000e+000
7.94328234724286e+007,-9.80187704118710e-002,-8.40848427060091e-002,2.00000000000000e-010,0.00000000000000e+000
1.00000000000001e+008,-9.37816172933690e-002,-5.31880417337498e-002,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+008,-8.72362586921326e-002,-2.66239230281568e-002,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+008,-7.78683281852977e-002,-4.06865650457926e-003,2.00000000000000e-010,0.00000000000000e+000
1.99526231496889e+008,-6.54040459712379e-002,1.41634593917452e-002,2.00000000000000e-010,0.00000000000000e+000
2.51188643150959e+008,-5.01406387312858e-002,2.72921084388881e-002,2.00000000000000e-010,0.00000000000000e+000
3.16227766016840e+008,-3.31590485499262e-002,3.45168639318337e-002,2.00000000000000e-010,0.00000000000000e+000
3.98107170553499e+008,-1.61520989606187e-002,3.55798644259280e-002,2.00000000000000e-010,0.00000000000000e+000
5.01187233627275e+008,-8.59588152017164e-004,3.10461907267847e-002,2.00000000000000e-010,0.00000000000000e+000
6.30957344480197e+008,1.14950211844638e-002,2.20662428430173e-002,2.00000000000000e-010,0.00000000000000e+000
7.94328234724286e+008,2.03604978864104e-002,9.85534954527587e-003,2.00000000000000e-010,0.00000000000000e+000
1.00000000000001e+009,2.56060826347384e-002,-4.68458888118156e-003,2.00000000000000e-010,0.00000000000000e+000
1.25892541179417e+009,2.71515232498437e-002,-2.10139096705609e-002,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+009,2.47177077607779e-002,-3.87596653964394e-002,2.00000000000000e-010,0.00000000000000e+000
1.99526231496889e+009,1.77685992462922e-002,-5.74268810046996e-002,2.00000000000000e-010,0.00000000000000e+000
2.51188643150960e+009,5.64140215420735e-003,-7.61113598206445e-002,2.00000000000000e-010,0.00000000000000e+000
3.16227766016840e+009,-1.21184280632510e-002,-9.33001164927726e-002,2.00000000000000e-010,0.00000000000000e+000
3.98107170553500e+009,-3.52395225130822e-002,-1.06933836464447e-001,2.00000000000000e-010,0.00000000000000e+000
5.01187233627275e+009,-6.22604751621957e-002,-1.14927395335554e-001,2.00000000000000e-010,0.00000000000000e+000
6.30957344480197e+009,-9.05728161193035e-002,-1.16053117747290e-001,2.00000000000000e-010,0.00000000000000e+000
7.94328234724287e+009,-1.17201734350632e-001,-1.10610383659198e-001,2.00000000000000e-010,0.00000000000000e+000
1.00000000000001e+010,-1.39875562250714e-001,-1.00296482004654e-001,2.00000000000000e-010,0.00000000000000e+000
1.25892541179418e+010,-1.57619477460837e-001,-8.73891041736858e-002,2.00000000000000e-010,0.00000000000000e+000
1.58489319246112e+010,-1.70615097769615e-001,-7.39041394111079e-002,2.00000000000000e-010,0.00000000000000e+000
1.99526231496889e+010,-1.79679658269235e-001,-6.11899590061395e-002,2.00000000000000e-010,0.00000000000000e+000
2.51188643150960e+010,-1.85789464733034e-001,-4.99354837025784e-002,2.00000000000000e-010,0.00000000000000e+000
3.16227766016840e+010,-1.89813299936608e-001,-4.03611218230743e-002,2.00000000000000e-010,0.00000000000000e+000
3.98107170553500e+010,-1.92423056885326e-001,-3.24184875191626e-002,2.00000000000000e-010,0.00000000000000e+000
5.01187233627276e+010,-1.94098906480600e-001,-2.59337755903640e-002,2.00000000000000e-010,0.00000000000000e+000
6.30957344480198e+010,-1.95168179158010e-001,-2.06926014539513e-002,2.00000000000000e-010,0.00000000000000e+000
7.94328234724287e+010,-1.95847641407924e-001,-1.64834923391087e-002,2.00000000000000e-010,0.00000000000000e+000
1.00000000000000e+011,-1.96278279601683e-001,-1.31168512700455e-002,2.00000000000000e-010,0.00000000000000e+000
Step,Information:,X=316.979p,Run:,12/20
